ID	Name	Genes	Subsystem
S-ADENMETSYN-RXN	Methionine adenosyltransferase	TD01GL000054	Methionine Metabolism
COBINPGUANYLYLTRANS-RXN	Adenosyl cobinamide phosphate guanyltransferase	TD01GL001449	Cofactor and Prosthetic Group Biosynthesis
COBINAMIDEKIN-RXN	Adenosyl cobinamide kinase	TD01GL001449	Cofactor and Prosthetic Group Biosynthesis
COBALAMINSYN-RXN	Adenosylcobalamin 5'-phosphate synthase	TD01GL001450	Cofactor and Prosthetic Group Biosynthesis
THI-P-KIN-RXN	Thiamine-phosphate kinase	TD01GL002570	Cofactor and Prosthetic Group Biosynthesis
MHPCHYDROL-RXN	2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase	TD01GL001779	Alternate Carbon Metabolism
R06789	2-hydroxy-6-ketononotrienedioate hydrolase	TD01GL001779	Alternate Carbon Metabolism
GKI-RXN	Glycerate kinase	TD01GL001378;TD01GL003158	Glycine and Serine Metabolism
AIRC2	Phosphoribosylaminoimidazole carboxylase	TD01GL002689	Purine and Pyrimidine Biosynthesis
GLUCOKIN-RXN	Hexokinase (D-glucose:ATP)	TD01GL001443	Glycolysis/Gluconeogenesis
MALIC-NADP-RXN	Malic enzyme (NADP)	TD01GL003103	Anaplerotic Reactions
ARGSUCCINLYA-RXN	Argininosuccinate lyase	TD01GL003705	Arginine and Proline Metabolism
CARBPSYN-RXN	Carbamoyl-phosphate synthase (glutamine-hydrolysing)	TD01GL000351;TD01GL000350	Arginine and Proline Metabolism
GLUTKIN-RXN	Glutamate 5-kinase	TD01GL000301	Arginine and Proline Metabolism
2-ISOPROPYLMALATESYN-RXN	2-isopropylmalate synthase	TD01GL002390	Valine, Leucine, and Isoleucine Metabolism
2.3.1.180-RXN	Beta-ketoacyl-ACP synthase (2)	TD01GL003141;TD01GL001279	Membrane Lipid Metabolism
OGMEACPS	3-Oxo-glutaryl-[ACP] methyl ester synthase	TD01GL001279	Cofactor and Prosthetic Group Biosynthesis
SUPEROX-DISMUT-RXN_copy1	Superoxide dismutase	TD01GL002253	Unassigned
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	S-adenosylhomocysteine nucleosidase	TD01GL001901	Methionine Metabolism
METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN	Methylthioadenosine nucleosidase	TD01GL001901	Arginine and Proline Metabolism
RXN0-6550	5'-deoxyadenosine nuclosidase	TD01GL001901	Cofactor and Prosthetic Group Biosynthesis
R01251	Pyrroline-5-carboxylate reductase	TD01GL000386	Arginine and Proline Metabolism
THIOSULFATE-SULFURTRANSFERASE-RXN	Cyanide sulfurtransferase	TD01GL002385;TD01GL000031	Unassigned
MERCAPYSTRANS-RXN	3-mercaptopyruvate sulfurtransferase	TD01GL002385	Cysteine Metabolism
DETHIOBIOTIN-SYN-RXN	Dethiobiotin synthase	TD01GL000623	Cofactor and Prosthetic Group Biosynthesis
DCTP-DEAM-RXN	DCTP deaminase	TD01GL001652	Nucleotide Salvage Pathway
DHDPS	Dihydrodipicolinate synthase	TD01GL003087	Threonine and Lysine Metabolism
CYTDEAM-RXN	Cytosine deaminase	TD01GL003351	Nucleotide Salvage Pathway
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	Glutamine-fructose-6-phosphate transaminase	TD01GL002494	Cell Envelope Biosynthesis
GLUTCYSLIG-RXN	Gamma-glutamylcysteine synthetase	TD01GL002556	Cofactor and Prosthetic Group Biosynthesis
GLUTAMIN-RXN	Glutaminase	TD01GL001524	Glutamate Metabolism
PRPPAMIDOTRANS-RXN	Glutamine phosphoribosyldiphosphate amidotransferase	TD01GL001640	Purine and Pyrimidine Biosynthesis
RXN-13854	Nitrite Reductase (NADH)	TD01GL000878;TD01GL000879	Oxidative Phosphorylation
ORNCARBAMTRANSFER-RXN	Ornithine carbamoyltransferase	TD01GL001264	Arginine and Proline Metabolism
R04325	Phosphoribosylglycinamide formyltransferase	TD01GL001653	Purine and Pyrimidine Biosynthesis
3.1.4.2-RXN_copy1	Glycerophosphodiester phosphodiesterase (Glycerophosphocholine)	TD01GL002136	Glycerophospholipid Metabolism
RXN-14160_copy1	Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine)	TD01GL002136	Glycerophospholipid Metabolism
RXN-14073_copy1	Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol)	TD01GL002136	Glycerophospholipid Metabolism
RXN-14136_copy1	Glycerophosphodiester phosphodiesterase (Glycerophosphoserine)	TD01GL002136	Glycerophospholipid Metabolism
3.1.4.44-RXN_copy1	Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol)	TD01GL002136	Glycerophospholipid Metabolism
METHYLISOCITRATE-LYASE-RXN	Methylisocitrate lyase	TD01GL001248	Alternate Carbon Metabolism
SUCCGLUALDDEHYD-RXN	Succinylglutamic semialdehyde dehydrogenase	TD01GL002784	Arginine and Proline Metabolism
PDX5PS	Pyridoxine 5'-phosphate synthase	TD01GL002225;TD01GL002914	Cofactor and Prosthetic Group Biosynthesis
PORPHOBILSYNTH-RXN	Porphobilinogen synthase	TD01GL003121	Cofactor and Prosthetic Group Biosynthesis
GLYRIBONUCSYN-RXN	Phosphoribosylglycinamide synthase	TD01GL002631	Purine and Pyrimidine Biosynthesis
PRFGS	Phosphoribosylformylglycinamidine synthase	TD01GL003099	Purine and Pyrimidine Biosynthesis
ETHAMLY-RXN	Ethanolamine ammonia-lyase	TD01GL000617;TD01GL000616	Cell Envelope Biosynthesis
MANNPGUANYLTRANGDP-RXN	Mannose-1-phosphate guanylyltransferase (GDP)	TD01GL000981	Cell Envelope Biosynthesis
RXN0-5408	Myo-inositol 1-phosphatase	TD01GL000667;TD01GL000850;TD01GL001987	Cell Envelope Biosynthesis
GLYCEROL-2-PHOSPHATASE-RXN	Glycerol-2-phosphate phosphatase	TD01GL000667;TD01GL000850	Alternate Carbon Metabolism
2-METHYLCITRATE-SYNTHASE-RXN	2-methylcitrate synthase	TD01GL001249	Alternate Carbon Metabolism
RXN0-5462	Nucleoside-triphosphatase (GTP)	TD01GL002230;TD01GL003340;TD01GL002375;TD01GL000653;TD01GL000185;TD01GL000170;TD01GL002384;TD01GL002955;TD01GL002227;TD01GL000186	Nucleotide Salvage Pathway
RXN0-5073	Nucleoside-triphosphatase (ITP)	TD01GL002384	Nucleotide Salvage Pathway
RXN-12195	Nucleoside-triphosphatase (CTP)	TD01GL002384	Nucleotide Salvage Pathway
ATPASE-RXN	Nucleoside-triphosphatase (ATP)	TD01GL000341;TD01GL003097;TD01GL002384;TD01GL001180	Biomass and maintenance functions
GLU6PDEHYDROG-RXN	Glucose 6-phosphate dehydrogenase	TD01GL001437	Pentose Phosphate Pathway
R01226	3-methyl-2-oxobutanoate hydroxymethyltransferase	TD01GL000370	Cofactor and Prosthetic Group Biosynthesis
UGD-RXN	UDPglucose 6-dehydrogenase	TD01GL002492;TD01GL001868	Cell Envelope Biosynthesis
UDPMANNACADEHYDROG-RXN	UDP-N-acetyl-D-mannosamine oxidoreductase	TD01GL002506	Cell Envelope Biosynthesis
GLUTDECARBOX-RXN	Glutamate Decarboxylase	TD01GL003714	Glutamate Metabolism
R01286	Cystathionine b-lyase	TD01GL000406	Methionine Metabolism
O-SUCCHOMOSERLYASE-RXN	O-succinylhomoserine lyase (L-cysteine)	TD01GL001641	Methionine Metabolism
ACACT3r	Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r)	TD01GL001328	Membrane Lipid Metabolism
RXN-14268	Acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r)	TD01GL001328	Membrane Lipid Metabolism
ACACT5r	Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r)	TD01GL001328	Membrane Lipid Metabolism
RXN-13617	Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r)	TD01GL001328	Membrane Lipid Metabolism
ACACT8r	Acetyl-CoA acyltransferase (hexadecanoyl-CoA), (r)	TD01GL001328	Membrane Lipid Metabolism
2.3.1.155-RXN	Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r)	TD01GL001328	Membrane Lipid Metabolism
RXN-12565	Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r)	TD01GL001328;TD01GL001318	Membrane Lipid Metabolism
ACETYL-COA-ACETYLTRANSFER-RXN	Acetyl-CoA C-acetyltransferase	TD01GL001300;TD01GL001328;TD01GL000367;TD01GL001318	Membrane Lipid Metabolism
RXN0-5114	Phosphoserine phosphatase (L-serine)	TD01GL002399	Glycine and Serine Metabolism
ARHGDx	(R)-alpha-hydroxyglutarate dehydrogenase	TD01GL003628	Glycine and Serine Metabolism
PGLYCDEHYDROG-RXN	Phosphoglycerate dehydrogenase	TD01GL003628	Glycine and Serine Metabolism
RXN-16701	(S)-alpha-hydroxyglutarate dehydrogenase	TD01GL003628	Glycine and Serine Metabolism
GTP-CYCLOHYDRO-I-RXN	GTP cyclohydrolase I	TD01GL002049	Cofactor and Prosthetic Group Biosynthesis
DIHYDROFOLATESYNTH-RXN	Dihydrofolate synthase	TD01GL001637	Cofactor and Prosthetic Group Biosynthesis
R00946	Methionine synthase	TD01GL003123;TD01GL001839	Methionine Metabolism
SAICARSYN-RXN	Phosphoribosylaminoimidazolesuccinocarboxamide synthase	TD01GL003085	Purine and Pyrimidine Biosynthesis
RXN0-5289	Tartronate semialdehyde reductase	TD01GL001377	Alternate Carbon Metabolism
PPK2	Polyphosphate kinase	TD01GL003122	Oxidative Phosphorylation
PPK	Polyphosphate kinase	TD01GL003122	Oxidative Phosphorylation
R07168	5,10-methylenetetrahydrofolate reductase (NADH)	TD01GL000058	Folate Metabolism
L-ASPARTATE-OXID-RXN	L-aspartate oxidase	TD01GL001260	Cofactor and Prosthetic Group Biosynthesis
ASPO3	L-aspartate oxidase	TD01GL001260	Cofactor and Prosthetic Group Biosynthesis
ASPO4	L-aspartate oxidase	TD01GL001260	Cofactor and Prosthetic Group Biosynthesis
RXN-9772	L-aspartate oxidase	TD01GL001260	Cofactor and Prosthetic Group Biosynthesis
H2PTEROATESYNTH-RXN	Dihydropteroate synthase	TD01GL000356	Cofactor and Prosthetic Group Biosynthesis
R01220	Methylenetetrahydrofolate dehydrogenase (NADP)	TD01GL001900	Folate Metabolism
R01655	Methenyltetrahydrofolate cyclohydrolase	TD01GL001900	Folate Metabolism
QUINOLINATE-SYNTHA-RXN	Quinolinate synthase	TD01GL003092	Cofactor and Prosthetic Group Biosynthesis
L_LACD2	L-Lactate dehydrogenase (ubiquinone)	TD01GL000070	Oxidative Phosphorylation
L_LACD3	L-Lactate dehydrogenase (menaquinone)	TD01GL000070	Oxidative Phosphorylation
GLCTR1	Glucosyltransferase I (LPS core synthesis)	TD01GL000013	Lipopolysaccharide Biosynthesis / Recycling
3HPADHi	3-Hydroxypropanal Dehydrogenase	TD01GL003376	Alternate Carbon Metabolism
R07418	Gamma-glutamyl-gamma aminobutyric acid dehydrogenase	TD01GL003376	Alternate Carbon Metabolism
RXN0-3942	Gamma-glutamyl-gamma-aminobutyric acid hydrolase	TD01GL003378	Alternate Carbon Metabolism
R05724	Nitric oxide dioxygenase	TD01GL002111	Nitrogen Metabolism
R05725	Nitric oxide dioxygenase	TD01GL002111	Nitrogen Metabolism
AGM4PA	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase	TD01GL003064	Murein Recycling
AGM3PA	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase	TD01GL003064	Murein Recycling
AM4PA	Anhydrous-N-Acetylmuramyl-tetrapeptide amidase	TD01GL003064	Murein Recycling
AM3PA	Anhydrous-N-Acetylmuramyl-tripeptide amidase	TD01GL003064	Murein Recycling
RXN-6622	Alanyl aminopeptidase (cys-gly)	TD01GL002368;TD01GL000591;TD01GL003160	Cysteine Metabolism
AMPTASEPG	Aminopeptidase (pro-gly)	TD01GL002368;TD01GL000591;TD01GL003160	Arginine and Proline Metabolism
RXN0-6981	L-alanyl-gamma-L-glutamate peptidase	TD01GL003160	Murein Recycling
GRXR	Glutaredoxin reductase	TD01GL001908;TD01GL001265	Unassigned
RNDR1b	Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin)	TD01GL001265;TD01GL001908;TD01GL002250;TD01GL002249	Nucleotide Salvage Pathway
RNDR3b	Ribonucleoside-diphosphate reductase (CDP) (glutaredoxin)	TD01GL001265;TD01GL001908;TD01GL002250;TD01GL002249	Nucleotide Salvage Pathway
RNDR2b	Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin)	TD01GL001265;TD01GL001908;TD01GL002250;TD01GL002249	Nucleotide Salvage Pathway
RNDR4b	Ribonucleoside-diphosphate reductase (UDP) (glutaredoxin)	TD01GL001265;TD01GL001908;TD01GL002250;TD01GL002249	Nucleotide Salvage Pathway
BTUR2-RXN	Cobinamide adenyltransferase	TD01GL002370;TD01GL001465	Cofactor and Prosthetic Group Biosynthesis
COBALADENOSYLTRANS-RXN	Cob(I)alamin adenosyltransferase	TD01GL002370	Cofactor and Prosthetic Group Biosynthesis
FACOAE60	Fatty-acid-CoA thioesterase (hexanoate)	TD01GL003102	Cell Envelope Biosynthesis
FACOAE120	Fatty-acid-CoA thioesterase (dodecanoate)	TD01GL003102	Cell Envelope Biosynthesis
FACOAE141	Fatty-acid-CoA thioesterase (tetradecenoate)	TD01GL003102	Cell Envelope Biosynthesis
FACOAE161	Fatty-acid-CoA thioesterase (hexadecenoate)	TD01GL003102	Cell Envelope Biosynthesis
FACOAE181	Fatty-acid-CoA thioesterase (octadecenoate)	TD01GL003102	Cell Envelope Biosynthesis
PALMITOYL-COA-HYDROLASE-RXN	Fatty-acid-CoA thioesterase (hexadecanoate)	TD01GL003102	Cell Envelope Biosynthesis
RXN-9624	Fatty-acid-CoA thioesterase (octadecanoate)	TD01GL003102	Cell Envelope Biosynthesis
FACOAE140	Fatty-acid-CoA thioesterase (tetradecanoate)	TD01GL003102	Cell Envelope Biosynthesis
FACOAE100	Fatty-acid-CoA thioesterase (decanoate)	TD01GL003102	Cell Envelope Biosynthesis
FACOAE80	Fatty-acid-CoA thioesterase (octanoate)	TD01GL003102	Cell Envelope Biosynthesis
RXN0-6427	Guanosine 3'-diphosphate 5'-triphosphate 3'-diphosphatase	TD01GL003751	Cofactor and Prosthetic Group Biosynthesis
PPGPPSYN-RXN	Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase	TD01GL003751	Cofactor and Prosthetic Group Biosynthesis
GGPTRCS	Gamma glutamyl putrescine synthase	TD01GL003379	Alternate Carbon Metabolism
RXN0-1602	Nucleoside triphosphate pyrophosphorylase (ditp)	TD01GL003809	Nucleotide Salvage Pathway
RXN0-6382	Nucleoside triphosphate pyrophosphorylase (itp)	TD01GL003809	Nucleotide Salvage Pathway
RXN0-1603	Nucleoside triphosphate pyrophosphorylase (xtp)	TD01GL003809	Nucleotide Salvage Pathway
O16AT	Rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate O-acetyltransferase (LPS O16 antigen biosynthesis)	TD01GL002511	Lipopolysaccharide Biosynthesis / Recycling
RXN0-276	Formaldehyde dehydrogenase	TD01GL002898	Cofactor and Prosthetic Group Biosynthesis
LCARSyi	Lacaldehyde reductase (S-propane-1,2-diol forming)	TD01GL002741	Alternate Carbon Metabolism
RXN-15743	Propane-1,2-diol:NADP+ 1-oxidoreductase	TD01GL002741	Alternate Carbon Metabolism
HISTAMINOTRANS-RXN	Histidinol-phosphate transaminase	TD01GL003196	Histidine Metabolism
GLUCONOKIN-RXN	Gluconokinase	TD01GL001009	Alternate Carbon Metabolism
OHMETHYLBILANESYN-RXN	Hydroxymethylbilane synthase	TD01GL003707	Cofactor and Prosthetic Group Biosynthesis
2.7.7.60-RXN	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	TD01GL002930	Cofactor and Prosthetic Group Biosynthesis
GLUTDEHYD-RXN	Glutamate dehydrogenase (NADP)	TD01GL000730;TD01GL002480;TD01GL000729	Glutamate Metabolism
GLUTAMATESYN-RXN	Glutamate synthase (NADPH)	TD01GL000730;TD01GL000729	Glutamate Metabolism
DAAD	D-Amino acid dehydrogenase	TD01GL003398	Alanine and Aspartate Metabolism
GLYOXII-RXN	Hydroxyacylglutathione hydrolase	TD01GL002897;TD01GL001769	Methylglyoxal Metabolism
RXN-7682	Hypoxanthine dehydrogenase	TD01GL001712;TD01GL000348;TD01GL000347	Nucleotide Salvage Pathway
RXN0-901	Xanthine dehydrogenase	TD01GL001712;TD01GL000348;TD01GL000347	Nucleotide Salvage Pathway
DMBPPRIBOSYLTRANS-RXN	Nicotinate-nucleotide dimethylbenzimidazole phosphoribosyltransferase	TD01GL001445	Cofactor and Prosthetic Group Biosynthesis
ERYTH4PDEHYDROG-RXN	Erythrose 4-phosphate dehydrogenase	TD01GL001412;TD01GL000050	Cofactor and Prosthetic Group Biosynthesis
GLUTAMIDOTRANS-RXN	Imidazole-glycerol-3-phosphate synthase	TD01GL003188;TD01GL003186	Histidine Metabolism
DUTP-PYROP-RXN	DUTP diphosphatase	TD01GL000505	Nucleotide Salvage Pathway
THREDEHYD-RXN	L-threonine deaminase	TD01GL000021	Valine, Leucine, and Isoleucine Metabolism
2.7.9.3-RXN	Selenophosphate synthase	TD01GL003193	Unassigned
ANHMK	1,6-anhydrous-N-Acetylmuramate kinase	TD01GL000389	Murein Recycling
R00939	Dihydrofolate reductase	TD01GL002539	Cofactor and Prosthetic Group Biosynthesis
SHIKIMATE-KINASE-RXN	Shikimate kinase	TD01GL000726	Tyrosine, Tryptophan, and Phenylalanine Metabolism
SUCCARGDIHYDRO-RXN	Succinylarginine dihydrolase	TD01GL002783	Arginine and Proline Metabolism
DAPASYN-RXN	Adenosylmethionine-8-amino-7-oxononanoate transaminase	TD01GL000622	Cofactor and Prosthetic Group Biosynthesis
N-ACETYLTRANSFER-RXN	N-acetylglutamate synthase	TD01GL000771;TD01GL002291	Arginine and Proline Metabolism
RXN0-5038	3',5'-cyclic-nucleotide phosphodiesterase	TD01GL003501;TD01GL002417	Nucleotide Salvage Pathway
CDGUNPD	3,5-cyclic-nucleotide phosphodiesterase	TD01GL003485;TD01GL003501	Alternate Carbon Metabolism
35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN	3',5'-cyclic-nucleotide phosphodiesterase	TD01GL003501	Nucleotide Salvage Pathway
DALADALALIG-RXN	D-alanine-D-alanine ligase (reversible)	TD01GL002299	Cell Envelope Biosynthesis
SUCCCOASYN-RXN	Succinyl-CoA synthetase (ADP-forming)	TD01GL001061;TD01GL001062	Citric Acid Cycle
PANTOATE-BETA-ALANINE-LIG-RXN	Pantothenate synthase	TD01GL000369	Cofactor and Prosthetic Group Biosynthesis
3-DEHYDROQUINATE-SYNTHASE-RXN	3-dehydroquinate synthase	TD01GL000727	Tyrosine, Tryptophan, and Phenylalanine Metabolism
3PGAREARR-RXN	Phosphoglycerate mutase	TD01GL000030	Glycolysis/Gluconeogenesis
TRIOSEPISOMERIZATION-RXN	Triose-phosphate isomerase	TD01GL000357	Glycolysis/Gluconeogenesis
RPI	Ribose-5-phosphate isomerase	TD01GL000020	Pentose Phosphate Pathway
ERYTHRON4PDEHYDROG-RXN	Erythronate 4-phosphate (4per) dehydrogenase	TD01GL001125	Cofactor and Prosthetic Group Biosynthesis
AGM3PH	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide beta -1,4-N-acetylglucosaminidase	TD01GL001680	Murein Recycling
AGMH	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl beta -1,4-N-acetylglucosaminidase	TD01GL001680	Murein Recycling
AGM4PH	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide beta -1,4-N-acetylglucosaminidase	TD01GL001680	Murein Recycling
DSERDHr	D-serine dehydrogenase	TD01GL000893	Glycine and Serine Metabolism
RXN-16000	L-allo-threonine dehydrogenase	TD01GL000893	Threonine and Lysine Metabolism
RXN0-2201	L-serine dehydrogenase	TD01GL000893	Glycine and Serine Metabolism
RXN-8974	Malonic semialdehyde reductase	TD01GL002429;TD01GL000893	Nucleotide Salvage Pathway
GLUTAMINESYN-RXN	Glutamine synthetase	TD01GL000237	Glutamate Metabolism
GLUTATHIONE-SYN-RXN	Glutathione synthetase	TD01GL000036	Cofactor and Prosthetic Group Biosynthesis
RXN0-1863	UDP-4''-ketopentose:UDP-4-amino-4-deoxy-L-arabinose aminotransferase	TD01GL003259	Lipopolysaccharide Biosynthesis / Recycling
RXN0-4281	Aldose reductase (methylglyoxal)	TD01GL000396;TD01GL000967;TD01GL000777	Methylglyoxal Metabolism
RXN0-5061	Heptosyltransferase II (LPS core synthesis)	TD01GL000010	Lipopolysaccharide Biosynthesis / Recycling
HEPT3	Heptosyltransferase III (LPS core synthesis)	TD01GL000017	Lipopolysaccharide Biosynthesis / Recycling
S2FE2SR	SUF [2Fe-2S] regeneration	TD01GL001337;TD01GL001336;TD01GL001339;TD01GL001338;TD01GL001844	Cofactor and Prosthetic Group Biosynthesis
S2FE2SS2	SUF [2Fe-2S] Synthesis II	TD01GL001337;TD01GL001336;TD01GL001339;TD01GL001338;TD01GL001844	Cofactor and Prosthetic Group Biosynthesis
S2FE2SS	SUF [2Fe-2S] Synthesis	TD01GL001337;TD01GL001336;TD01GL001339;TD01GL001338;TD01GL001844	Cofactor and Prosthetic Group Biosynthesis
R00863	L-cysteine sulfinic acid desulfurase	TD01GL001339	Cysteine Metabolism
SCYSDS	SUF Cysteine desulfuration	TD01GL001339;TD01GL001844	Cofactor and Prosthetic Group Biosynthesis
HEMN-RXN	Oxygen Independent coproporphyrinogen-III oxidase	TD01GL003044;TD01GL003810	Cofactor and Prosthetic Group Biosynthesis
PRAIS	Phosphoribosylaminoimidazole synthase	TD01GL001654	Purine and Pyrimidine Biosynthesis
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN	Dihydrouracil dehydrogenase (NAD)	TD01GL003346;TD01GL003347	Nucleotide Salvage Pathway
GALACTONDEHYDRAT-RXN	Galactonate dehydratase	TD01GL003512	Alternate Carbon Metabolism
DLACTDEHYDROGNAD-RXN	D-lactate dehydrogenase	TD01GL003672	Pyruvate Metabolism
3HAD121	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)	TD01GL000534;TD01GL000148	Cell Envelope Biosynthesis
4.2.1.59-RXN	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	TD01GL000534;TD01GL000148	Cell Envelope Biosynthesis
R04544	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	TD01GL000534;TD01GL000148	Cell Envelope Biosynthesis
3HAD40	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	TD01GL000534;TD01GL000148	Cell Envelope Biosynthesis
3HAD161	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)	TD01GL000534;TD01GL000148	Cell Envelope Biosynthesis
R07764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	TD01GL000534;TD01GL000148	Cell Envelope Biosynthesis
R04965	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)	TD01GL000534;TD01GL000148	Cell Envelope Biosynthesis
R04954	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	TD01GL000534;TD01GL000148	Cell Envelope Biosynthesis
T2DECAI	Trans-2-decenoyl-ACP isomerase	TD01GL000148	Cell Envelope Biosynthesis
3HAD141	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)	TD01GL000534;TD01GL000148	Cell Envelope Biosynthesis
R04535	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	TD01GL000534;TD01GL000148	Cell Envelope Biosynthesis
RXN-9537	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)	TD01GL000534;TD01GL000148	Cell Envelope Biosynthesis
3HAD181	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)	TD01GL000534;TD01GL000148	Cell Envelope Biosynthesis
EAR60x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0)	TD01GL002067	Cell Envelope Biosynthesis
EAR160y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:0)	TD01GL002067	Cell Envelope Biosynthesis
R10118	Enoylglutaryl-[ACP] methyl ester reductase	TD01GL002067	Cofactor and Prosthetic Group Biosynthesis
EAR161x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1)	TD01GL002067	Cell Envelope Biosynthesis
EAR121x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1)	TD01GL002067	Cell Envelope Biosynthesis
EAR120x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:0)	TD01GL002067	Cell Envelope Biosynthesis
EAR60y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0)	TD01GL002067	Cell Envelope Biosynthesis
EAR180x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0)	TD01GL002067	Cell Envelope Biosynthesis
EAR141x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1)	TD01GL002067	Cell Envelope Biosynthesis
EAR80y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0)	TD01GL002067	Cell Envelope Biosynthesis
EAR80x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0)	TD01GL002067	Cell Envelope Biosynthesis
EAR121y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1)	TD01GL002067	Cell Envelope Biosynthesis
EAR181y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1)	TD01GL002067	Cell Envelope Biosynthesis
EAR40y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0)	TD01GL002067	Cell Envelope Biosynthesis
EAR140y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:0)	TD01GL002067	Cell Envelope Biosynthesis
EAR40x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0)	TD01GL002067	Cell Envelope Biosynthesis
EAR141y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1)	TD01GL002067	Cell Envelope Biosynthesis
EAR100x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0)	TD01GL002067	Cell Envelope Biosynthesis
EAR140x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0)	TD01GL002067	Cell Envelope Biosynthesis
EAR180y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:0)	TD01GL002067	Cell Envelope Biosynthesis
EAR161y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1)	TD01GL002067	Cell Envelope Biosynthesis
EAR181x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1)	TD01GL002067	Cell Envelope Biosynthesis
EAR100y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0)	TD01GL002067	Cell Envelope Biosynthesis
EAR160x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0)	TD01GL002067	Cell Envelope Biosynthesis
EAR120y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:0)	TD01GL002067	Cell Envelope Biosynthesis
R10122	Enoylpimeloyl-[ACP] methyl ester reductase	TD01GL002067	Cofactor and Prosthetic Group Biosynthesis
DASYN141	CDP-diacylglycerol synthetase (n-C14:1)	TD01GL000528	Glycerophospholipid Metabolism
DASYN181	CDP-diacylglycerol synthetase (n-C18:1)	TD01GL000528	Glycerophospholipid Metabolism
DASYN120	CDP-diacylglycerol synthetase (n-C12:0)	TD01GL000528	Glycerophospholipid Metabolism
DASYN140	CDP-diacylglycerol synthetase (n-C14:0)	TD01GL000528	Glycerophospholipid Metabolism
