,dna,rna,protein
TD01GL000954,4638.223787167464,4319.366197183135,686.3067292644752
TD01GL0RAST32,670.9311424100166,629.3035993740236,73.39593114241013
TD01GL0RAST33,2275.234741784033,2107.785602503909,337.7934272300473
TD01GL000955,679.1862284820043,627.934272300471,89.1236306729265
TD01GL000956,621.2050078247267,577.9342723004713,101.0954616588422
TD01GL000957,1085.641627543038,1009.4287949921794,133.45070422535218
TD01GL0RAST34,618.1924882629118,573.90453834116,107.66823161189373
TD01GL000958,3330.7902973395944,3054.968701095475,477.81690140845114
TD01GL000959,1392.8012519561817,1292.4100156494542,220.2269170579032
TD01GL000960,881.0641627543056,817.0579029733987,129.42097026604074
TD01GL000961,2339.241001564944,2119.522691705789,361.2284820031302
TD01GL000962,2551.0954616588374,2361.4241001564947,361.38497652582214
TD01GL000963,5666.1580594679635,5274.530516431999,837.7543035993737
TD01GL000964,2503.4820031298896,2282.1205007824733,379.5774647887329
TD01GL000965,1311.4632237871676,1222.57433489828,183.8810641627545
TD01GL000966,1424.3348982785594,1328.0907668231628,215.2973395931143
TD01GL000967,4408.255086071999,4137.206572769976,612.2456964006263
TD01GL000968,713.9280125195631,653.5993740219111,113.96713615023481
TD01GL000969,8897.496087636962,8184.115805946966,1314.3974960876378
TD01GL000970,3894.4835680751216,3579.929577464803,591.3145539906102
TD01GL000971,5333.255086072013,4918.9358372457555,756.6510172143974
TD01GL000972,2163.1064162754237,2003.0125195618102,310.2895148669802
TD01GL000973,10694.757433489678,9931.768388106677,1426.2128325508597
TD01GL000974,10206.690140844961,9461.384976526071,1469.4053208137714
TD01GL000975,5981.103286385031,5547.456964006343,795.4616588419401
TD01GL000976,4237.0500782472645,3952.8560250391474,575.2347417840381
TD01GL000977,4211.541471048516,3905.9076682316345,610.4460093896713
TD01GL000978,10634.037558685282,9830.829420970522,1584.6244131455412
TD01GL000979,8241.001564945316,7635.367762128496,1184.3114241001547
TD01GL000980,8672.22222222228,7989.749608763871,1273.0438184663524
TD01GL000981,7604.22535211277,7046.8701095463075,1043.5837245696382
TD01GL000982,1899.3348982785585,1735.5633802816888,321.40062597809106
TD01GL000983,5023.552425665133,4663.928012519609,730.5946791862285
TD01GL000984,2127.4647887323918,1953.0516431924852,332.31611893583755
TD01GL000985,2062.558685446004,1897.6917057902942,281.1032863849765
TD01GL000986,3453.2863849765276,3184.4287949921895,520.0312989045391
TD01GL000987,7936.111111111198,7290.023474178558,1155.2034428794996
TD01GL000988,9648.239436619677,8977.347417840594,1279.3035993740218
TD01GL000989,7665.532081377244,7043.701095461797,1178.4428794992175
TD01GL000990,8818.075117370943,8170.03129890472,1267.7230046948353
TD01GL000991,4589.00625978092,4254.733959311458,616.9405320813776
TD01GL000992,4181.377151799689,3880.2034428795237,560.7589984350551
TD01GL000993,3328.5602503912373,3068.0751173709023,498.6306729264481
TD01GL000994,3769.4835680751166,3479.499217527404,550.7433489827862
TD01GL000995,2914.827856025037,2695.031298904544,425.2738654147109
TD01GL000996,5340.0625978091175,4948.122065727759,760.2112676056335
TD01GL000997,1726.173708920184,1622.0266040688568,247.73082942097045
TD01GL000998,2831.5336463223753,2603.3646322378772,391.0015649452274
TD01GL000999,1736.1111111111125,1554.1079812206574,288.49765258215984
TD01GL001000,11424.726134585077,10566.27543036021,1556.103286384975
TD01GL001001,1254.851330203443,1132.2378716744934,213.26291079812233
TD01GL001002,4663.536776212851,4334.037558685484,695.6964006259782
TD01GL001003,3764.241001564945,3492.5665101721625,521.3615023474182
TD01GL001004,2291.0015649452225,2123.630672926444,288.9671361502349
TD01GL001005,2427.425665101716,2254.2644757433486,357.1987480438187
TD01GL001006,5790.101721439797,5369.757433489903,808.1377151799691
TD01GL001007,3383.255086071992,3098.9827856025145,511.97183098591614
TD01GL001008,6931.53364632245,6335.367762128429,1016.4319248826288
TD01GL001009,2836.38497652582,2626.0563380281733,375.5086071987485
TD01GL001010,5421.635367762163,5024.295774647953,761.0328638497649
TD01GL001011,4836.424100156513,4486.502347417881,678.1690140845063
TD01GL001012,4877.816901408477,4467.488262910838,714.7496087636927
TD01GL001013,663.0672926447583,610.250391236309,95.3051643192489
TD01GL001014,4278.090766823167,3959.3114241001817,604.4992175273874
TD01GL001015,4802.543035993763,4437.754303599413,650.3912363067293
TD01GL001016,2298.513302034424,2125.508607198746,284.5070422535215
TD01GL001017,2576.1737089201824,2389.0845070422583,322.8873239436625
TD01GL0RAST35,816.6666666666679,748.4350547730857,117.3708920187794
TD01GL001018,5226.056338028206,4842.957746478925,738.77151799687
TD01GL001019,3807.2769953051643,3537.2456964006465,523.2394366197185
TD01GL001020,8257.550860719957,7672.339593114416,1153.6776212832547
TD01GL001021,3667.566510172147,3402.8560250391365,530.3599374021916
TD01GL001022,3548.8262910798135,3285.8372456964157,520.6572769953062
TD01GL001023,3023.0438184663517,2783.1377151799747,450.50860719874856
TD01GL001024,1721.6744913927985,1589.514866979655,246.83098591549305
TD01GL001025,5171.009389671394,4775.547730829477,707.3552425665094
TD01GL001026,7463.615023474267,6903.834115806084,1051.8779342722985
TD01GL001027,4814.749608763716,4407.78560250395,734.0375586854467
TD01GL001028,4607.3943661972,4225.3912363067575,709.5852895148668
TD01GL001029,6258.137715180022,5794.131455399157,863.0281690140832
TD01GL001030,3762.7151799687003,3497.6917057903156,502.07355242566575
TD01GL001031,4253.599374021916,3947.496087636961,561.658841940533
TD01GL001032,3355.5164319248806,3107.785602503925,479.8122065727704
TD01GL001033,8020.070422535308,7438.302034428949,1149.6870109546167
TD01GL001034,8027.973395931242,7431.416275430509,1072.6525821596222
TD01GL001035,4558.920187793444,4227.151799687039,628.9123630672924
TD01GL001036,7964.045383411672,7383.137715180126,1025.82159624413
TD01GL001037,729.8513302034439,666.0015649452291,97.73082942097032
TD01GL001038,729.8513302034439,666.0015649452291,97.73082942097032
TD01GL001039,17231.69014084447,15884.820031299372,2426.13458528952
TD01GL001040,10924.178403755703,10118.466353677877,1597.261345852896
TD01GL001041,3656.298904538344,3353.8732394366366,535.9937402190924
TD01GL001042,5011.267605633817,4641.47104851335,751.7214397496078
TD01GL001043,3308.685446009388,3057.2769953051757,486.61971830985965
TD01GL001044,5571.948356807558,5151.056338028232,778.3646322378712
TD01GL001045,7859.585289514963,7292.1361502348955,1162.7543035993733
TD01GL001046,5522.848200313023,5135.915492957817,783.3724569640057
TD01GL001047,2280.946791862279,2134.3896713615004,339.7496087636938
TD01GL001048,3665.8059467918606,3424.9608763693454,516.9796557120507
TD01GL001049,3149.7261345852867,2921.322378716757,413.84976525821656
TD01GL001050,2816.666666666663,2615.4929577464823,400.19561815336516
TD01GL001051,8918.035993740263,8220.85289514885,1324.334898278562
TD01GL001052,4749.882629107995,4430.790297339633,637.4413145539911
TD01GL001053,6914.749608763765,6419.366197183214,1037.0109546165877
TD01GL001054,2107.589984350545,1930.5946791862254,311.30672926447585
TD01GL001055,1876.7214397496061,1716.4710485133003,304.89045383411604
TD01GL001056,9573.552425665075,8866.823161189568,1321.9092331768386
TD01GL001057,3837.754303599377,3544.4053208137875,560.95461658842
TD01GL001058,15620.93114240938,14483.294209703086,2238.0672926447614
TD01GL001059,8519.83568075124,7953.951486698151,1105.046948356808
TD01GL001060,7796.3615023475195,7228.208137715328,1041.0798122065714
TD01GL001061,6309.898278560313,5861.776212832645,838.5367762128317
TD01GL001062,4717.410015649473,4381.416275430399,620.813771517997
TD01GL001063,5595.3051643192875,5166.90140845077,856.6510172143967
TD01GL001064,6120.031298904584,5664.397496087726,877.7386541471038
TD01GL001065,2252.190923317679,2096.400625978087,298.9827856025041
TD01GL001066,6178.403755868602,5775.273865414809,815.7276995305155
TD01GL001067,10604.929577464642,9899.295774648153,1502.6212832550882
TD01GL001068,4161.971830985919,3858.763693270758,578.364632237872
TD01GL001069,5996.400625978133,5558.294209702742,809.1158059467912
TD01GL001070,5474.4131455399365,5096.087636932773,738.4194053208134
TD01GL001071,13898.200312988574,12930.907668231992,1768.9358372456998
TD01GL001072,9302.973395931118,8577.85602503933,1287.5978090766814
TD01GL001073,7860.993740219175,7287.519561815493,1148.2003129890438
TD01GL001074,14550.743348982254,13539.24100156535,2040.6103286384996
TD01GL001075,4294.796557120504,3988.8497652582437,591.7449139280131
TD01GL001076,4086.2676056338078,3786.4241001565156,572.8873239436617
TD01GL001077,7944.522691705887,7331.5336463225285,1120.422535211266
TD01GL001078,6987.2848200313665,6487.441314554115,943.1924882629099
TD01GL001079,4934.350547730845,4528.716744913969,770.5399061032862
TD01GL001080,4748.943661971856,4359.115805946826,719.4053208137713
TD01GL001081,6048.317683881112,5622.4960876370205,847.0266040688566
TD01GL001082,5524.960876369356,5157.981220657349,796.3615023474174
TD01GL001083,7455.790297339666,6928.169014084646,1086.9718309859136
TD01GL001084,1019.7965571205027,940.3755868544631,154.8513302034431
TD01GL001085,4675.391236306745,4340.884194053245,654.5774647887317
TD01GL001086,1328.0125195618152,1205.5555555555559,178.16901408450718
TD01GL001087,13302.464788731968,12325.547730829761,1959.6244131455412
TD01GL001088,3747.7308294209715,3452.6604068857723,547.6525821596251
TD01GL001089,6429.694835680817,5864.358372457052,936.1111111111101
TD01GL001090,3406.4162754303597,3159.8591549295893,487.5978090766824
TD01GL001091,4655.164319248837,4347.574334898313,647.8090766823155
TD01GL001092,4308.411580594692,3958.255086072007,635.5633802816898
TD01GL001093,5343.661971831024,4917.683881064217,774.6087636932706
TD01GL001094,8488.458528951543,7895.187793427412,1181.5727699530498
TD01GL001095,2178.051643192484,2027.660406885755,300.8998435054776
TD01GL001096,2608.137715179963,2444.0532081377187,338.3020344287956
TD01GL001097,1531.220657276995,1399.6087636932714,236.03286384976533
TD01GL001098,2522.8873239436575,2345.892018779342,300.3129890453836
TD01GL001099,8621.830985915554,8024.726134585477,1217.0970266040674
TD01GL001100,2284.8200312988984,2123.0046948356767,318.3881064162757
TD01GL001101,6354.029733959374,5893.38810641637,891.353677621282
TD01GL001102,7467.214397496175,6919.718309859289,1060.2112676056322
TD01GL001103,3427.1126760563375,3192.8403755868662,490.610328638498
TD01GL001104,6197.887323943713,5748.513302034521,879.1079812206559
TD01GL001105,2482.7856025039096,2310.7981220657266,360.83724569640106
TD01GL001106,3237.402190923312,3023.0046948356903,472.8090766823167
TD01GL001107,12087.597809076395,11217.566510172444,1737.0109546165922
TD01GL001108,1756.72926447574,1623.630672926446,252.89514866979687
TD01GL001109,12305.946791861974,11395.22691705821,1688.1455399061058
TD01GL001110,1183.7636932707373,1095.579029733963,177.26917057902997
TD01GL001111,3960.5242566510187,3634.937402190943,614.6713615023477
TD01GL001112,4057.9029733959337,3739.671361502368,613.2629107981223
TD01GL001113,18634.85915492922,17275.54773082988,2538.1455399061074
TD01GL001114,3536.541471048512,3267.3708920187946,492.99687010954716
TD01GL001115,7182.629107981285,6681.7683881065495,998.1611893583714
TD01GL001116,2955.8294209702617,2735.093896713623,448.278560250392
TD01GL001117,4304.225352112684,3972.8482003130134,576.212832550861
TD01GL001118,6015.336463223841,5567.057902973478,883.3724569640044
TD01GL001119,26051.44757433569,24100.27386541484,3768.3489827856147
TD01GL001120,5490.92331768392,5082.003129890519,719.1314553990608
TD01GL001121,1138.7715179968714,1056.0641627543062,171.63536776212857
TD01GL001122,11981.494522691433,11136.189358372761,1692.410015649453
TD01GL001123,1815.9233176838766,1687.0500782472586,250.39123630672935
TD01GL001124,1556.964006259779,1452.895148669797,232.1987480438188
TD01GL001125,6350.899843505532,5890.179968701194,849.7261345852884
TD01GL001126,4890.8059467918765,4508.959311424143,703.6776212832553
TD01GL001127,6718.153364632292,6229.8904538342285,957.081377151799
TD01GL001128,5125.625978090791,4787.128325508665,708.7245696400618
TD01GL001129,5125.625978090791,4787.128325508665,708.7245696400618
TD01GL001130,2145.735524256646,1997.8482003129848,312.4021909233181
TD01GL001131,8520.852895148731,7934.780907668413,1164.0453834115792
TD01GL001132,5202.856025039156,4827.347417840429,740.3755868544602
TD01GL001133,4181.572769953065,3808.17683881066,664.9843505477318
TD01GL001134,4497.065727699541,4176.877934272327,647.5352112676055
TD01GL001135,3018.857589984346,2813.0672926447646,426.6431924882636
TD01GL001136,2783.8028169014037,2601.8779342723033,383.1768388106421
TD01GL001137,7015.453834115875,6548.239436619844,982.3943661971812
TD01GL001138,3605.5164319248793,3328.286384976546,512.3630672926456
TD01GL001139,1182.7856025039134,1107.8247261345891,171.43974960876375
TD01GL001140,2478.364632237866,2307.3943661971825,335.2895148669798
TD01GL001141,673.2785602503924,623.0438184663551,102.03442879499224
TD01GL001142,1621.987480438182,1507.4334898278555,220.69640062597813
TD01GL001143,2330.946791862278,2162.1674491392773,356.69014084507063
TD01GL001144,1383.959311424099,1297.261345852896,182.62910798122093
TD01GL0RAST36,1047.300469483571,983.2159624413175,133.92018779342726
TD01GL001145,852.8169014084527,800.4694835680777,121.59624413145556
TD01GL001146,9924.804381846567,9284.663536776448,1449.2957746478878
TD01GL001147,1923.7871674491312,1819.6400625978044,271.7527386541474
TD01GL001148,1208.802816901409,1129.8513302034462,173.5915492957748
TD01GL001149,9762.441314553931,9126.447574335127,1311.1502347417827
TD01GL001150,694.8748043818479,653.3255086072011,104.65571205007848
TD01GL001151,2625.704225352109,2415.8450704225374,387.8716744913935
TD01GL001152,4197.535211267613,3921.948356807531,613.4194053208136
TD01GL001153,3996.400625978092,3683.5680751173936,588.7715179968704
TD01GL001154,3717.2535211267586,3457.159624413166,490.0625978090773
TD01GL001155,8896.16588419406,8240.84507042273,1329.3427230046932
TD01GL001156,4292.566510172151,3986.6197183098825,595.4225352112679
TD01GL001157,1166.27543035994,1079.5774647887363,169.1705790297341
TD01GL001158,7133.920187793502,6657.863849765393,987.9890453834092
TD01GL001159,7921.205007824819,7258.76369327088,1191.118935837246
TD01GL001160,7235.01564945234,6735.328638497788,1052.5430359937395
TD01GL001161,2589.553990610325,2406.142410015652,385.1721439749614
TD01GL001162,633.2159624413152,581.3380281690158,101.33020344287968
TD01GL001163,4731.3771517997,4406.651017214436,641.5101721439748
TD01GL001164,5613.888888888931,5216.471048513374,779.5774647887315
TD01GL001165,3041.2363067292613,2852.8169014084588,419.5618153364638
TD01GL001166,5308.685446009424,4905.00782472619,748.5133020344279
TD01GL001167,6070.774647887377,5637.363067292736,826.5649452269164
TD01GL001168,2355.98591549295,2200.4303599373993,310.60250391236383
TD01GL001169,2993.1533646322314,2791.823161189368,428.09076682316254
TD01GL001170,10023.904538341087,9281.57276995327,1474.7652582159621
TD01GL001171,8021.087636932815,7411.776212832703,1101.8779342722996
TD01GL001172,7830.555555555648,7231.103286385124,1157.5899843505472
TD01GL001173,4827.151799687031,4479.733959311468,663.4585289514863
TD01GL001174,2492.4882629107947,2302.1909233176825,362.7543035993744
TD01GL001175,5890.179968701143,5497.065727699615,823.7871674491389
TD01GL001176,7240.2190923318385,6713.536776212965,1019.7965571204993
TD01GL001177,1970.1877934272247,1823.865414710482,280.39906103286404
TD01GL001178,11292.996870109342,10515.76682316148,1544.7183098591565
TD01GL001179,7076.173708920271,6513.888888889005,966.3928012519543
TD01GL001180,5894.718309859203,5476.643192488345,810.9154929577456
TD01GL001181,3128.834115805944,2917.7230046948453,428.5211267605638
TD01GL001182,3128.834115805944,2917.7230046948453,428.5211267605638
TD01GL001183,3461.4632237871656,3219.600938967151,460.133020344289
TD01GL001184,5066.78403755871,4694.561815336512,683.568075117371
TD01GL001185,4621.79186228483,4300.899843505513,633.0203442879501
TD01GL001186,3518.1924882629096,3274.452269170592,500.0000000000009
TD01GL001187,9654.968701095422,8973.435054773301,1338.8106416275446
TD01GL001188,7072.926447574416,6557.511737089326,969.7574334898263
TD01GL001189,5889.241001564991,5475.704225352198,808.372456964006
TD01GL001190,4643.661971831005,4292.253521126792,641.6666666666667
TD01GL001191,3055.12519561815,2814.280125195629,449.72613458529
TD01GL001192,4082.3943661971866,3770.8137715180164,530.9859154929584
TD01GL001193,8411.345852895236,7819.796557120674,1144.3270735524238
TD01GL001194,3045.3051643192443,2819.718309859165,441.35367762128374
TD01GL001195,5976.564945226974,5494.561815336541,820.383411580595
TD01GL001196,6407.120500782536,5942.957746478974,918.661971830985
TD01GL001197,4920.305164319278,4482.0422535211665,779.1862284820027
TD01GL001198,4566.001564945245,4178.755868544628,692.7230046948359
TD01GL001199,1129.7730829420989,1045.031298904542,161.42410015649457
TD01GL001200,2327.269170579025,2163.497652582157,321.9874804381855
TD01GL001201,16949.60876369265,15656.494522692179,2354.5774647887392
TD01GL001202,5979.381846635422,5520.3051643193285,824.1784037558681
TD01GL001203,6425.782472613532,5925.000000000092,904.1862284820019
TD01GL001204,1622.7699530516416,1501.5649452269172,228.5211267605635
TD01GL001205,2189.945226917056,2008.5680751173666,304.8904538341159
TD01GL001206,2065.4147104851286,1909.154929577462,283.8028169014087
TD01GL001207,5573.787167449177,5150.391236306796,826.0954616588417
TD01GL001208,18079.694835680257,16686.971830986382,2545.8137715180073
TD01GL001209,4106.690140845075,3804.3427230047173,566.6275430359937
TD01GL001210,10966.627543035804,10135.641627543297,1571.5962441314541
TD01GL001211,6604.342723004753,6110.680751173814,998.0829420970242
TD01GL001212,1789.3974960876333,1651.2910798122045,265.2582159624415
TD01GL001213,3453.2863849765235,3196.0876369327225,466.5492957746481
TD01GL001214,3424.4522691705793,3163.6541471048645,499.0219092331773
TD01GL001215,3182.1205007824697,2976.251956181541,418.50547730829476
TD01GL001216,4836.502347417864,4403.638497652617,727.308294209702
TD01GL001217,3354.225352112674,3096.2441314554153,497.06572769953164
TD01GL001218,5896.244131455443,5448.200312989127,855.7902973395913
TD01GL001219,4457.003129890469,4096.517996870134,663.9671361502345
TD01GL001220,4609.93740219094,4236.071987480467,675.3129890453839
TD01GL001221,5597.887323943701,5190.297339593185,779.616588419405
TD01GL001222,3787.597809076683,3500.743348982803,514.4366197183109
TD01GL001223,7135.915492957823,6615.101721439876,998.0046948356791
TD01GL001224,3650.78247261346,3378.8732394366325,503.40375586854526
TD01GL001225,4955.359937402213,4601.134585289561,718.4663536776211
TD01GL001226,3277.464788732393,3030.0469483568204,459.5461658841946
TD01GL001227,5507.237871674538,5112.636932707418,729.3035993740212
TD01GL001228,4341.040688575908,4015.845070422561,589.3192488262913
TD01GL001229,16848.08294209642,15702.386541471547,2396.400625978096
TD01GL001230,3595.892018779347,3296.3615023474326,512.4021909233182
TD01GL001231,6282.276995305226,5796.439749608855,897.4960876369317
TD01GL001232,4019.0923317683946,3673.787167449158,574.1001564945234
TD01GL001233,4809.154929577492,4407.668231611932,654.4992175273868
TD01GL001234,4575.000000000016,4209.115805946823,662.55868544601
TD01GL001235,5237.245696400657,4824.178403755925,764.4366197183097
TD01GL001236,4998.982785602532,4588.341158059512,714.04538341158
TD01GL001237,4918.388106416296,4526.917057903016,705.0078247261343
TD01GL001238,16665.17996870044,15530.751173709412,2368.3098591549337
TD01GL001239,3175.195618153361,2955.5555555555657,448.20031298904604
TD01GL001240,6778.912363067367,6242.918622848307,949.1392801251951
TD01GL001241,6902.895148669865,6424.178403755988,978.8341158059453
TD01GL0RAST37,1343.6619718309855,1237.5586854460103,171.0093896713617
TD01GL001242,5953.677621283313,5441.079812206646,876.0563380281683
TD01GL001243,2079.499217527383,1929.890453834113,278.9123630672928
TD01GL001244,5268.740219092363,4858.802816901463,759.194053208137
TD01GL001245,3337.6760563380253,3109.2723004694963,506.92488262910894
TD01GL001246,7321.126760563476,6791.079812206701,1043.7793427230024
TD01GL001247,4002.50391236307,3709.076682316137,564.7104851330209
TD01GL001248,4856.45539906106,4493.857589984392,666.1189358372458
TD01GL001249,6085.758998435103,5643.74021909242,881.2989045383405
TD01GL001250,14235.485133019843,13223.20031298943,1985.64162754304
TD01GL001251,6388.654147104919,5912.20657277005,836.971830985915
TD01GL001252,642.9186228482015,599.7261345852917,77.8951486697966
TD01GL001253,1545.6181533646316,1428.7949921752747,192.5665101721441
TD01GL001254,3875.8215962441295,3574.882629108002,512.9890453834124
TD01GL001255,6460.563380281743,5994.053208137819,932.9029733959293
TD01GL001256,1652.3865414710442,1524.1392801251943,249.41314553990625
TD01GL001257,1605.0469483568043,1498.5524256651013,223.43505477308312
TD01GL001258,1592.6838810641605,1466.3145539906095,251.13458528951512
TD01GL001259,1513.4585289514846,1395.5399061032863,223.8262910798122
TD01GL001260,8800.43035993743,8192.136150234934,1196.5962441314548
TD01GL001261,2961.0328638497663,2709.311424100161,464.86697965571267
TD01GL001262,9761.267605633735,9075.430359937636,1380.4773082942115
TD01GL001263,3516.2754303599395,3253.677621283268,508.9984350547736
TD01GL001264,4980.712050078263,4632.198748043868,710.5242566510174
TD01GL001265,1900.3129890453783,1761.971830985913,260.91549295774684
TD01GL001266,11081.729264475558,10289.710485133293,1479.3427230046957
TD01GL001267,2020.8920187793378,1882.3161189358345,273.59154929577517
TD01GL001268,3268.231611893587,3012.6760563380367,444.52269170579103
TD01GL001269,6003.521126760617,5561.26760563389,902.8951486697952
TD01GL001270,1593.9358372456945,1480.790297339593,231.533646322379
TD01GL001271,3162.7543035993726,2913.536776212842,469.05320813771596
TD01GL001272,2502.973395931138,2314.71048513302,371.43974960876403
TD01GL001273,903.8341158059493,848.043818466358,130.32081377151803
TD01GL001274,11444.248826290841,10629.225352112966,1684.4287949921759
TD01GL001275,2307.0031298904514,2111.1502347417795,358.41158059467955
TD01GL001276,4245.852895148678,3912.284820031323,629.3427230046949
TD01GL001277,9042.918622848238,8368.427230047133,1272.574334898278
TD01GL001278,21679.225352112815,20135.56338028202,3121.4788732394445
TD01GL001279,6072.926447574392,5610.4851330204265,810.9937402190919
TD01GL001280,4345.266040688584,3986.9718309859422,610.680751173709
TD01GL001281,6459.076682316182,5957.902973396026,921.2050078247239
TD01GL001282,2795.6572769953023,2585.7198748043866,399.45226917057965
TD01GL001283,5055.3599374022215,4707.003129890505,687.9107981220657
TD01GL001284,6497.104851330275,5937.010954616674,957.3161189358367
TD01GL001285,3959.2331768388194,3611.737089201893,587.9890453834115
TD01GL001286,5484.2723004695235,5057.04225352119,738.2629107981224
TD01GL001287,6757.081377151872,6186.971830986018,962.5586854460088
TD01GL001288,6323.395931142467,5801.0172143975815,919.4053208137709
TD01GL001289,4541.079812206584,4213.30203442883,648.2394366197187
TD01GL001290,5661.189358372502,5241.001564945297,757.4334898278557
TD01GL001291,6667.840375586926,6120.344287950022,1000.7042253521121
TD01GL001292,6260.524256651071,5769.600938967224,882.9420970266035
TD01GL001293,1663.5367762128299,1542.9577464788733,228.79499217527393
TD01GL001294,2193.114241001561,2043.818466353674,317.6056338028172
TD01GL001295,3620.5790297339595,3367.449139280141,510.28951486698054
TD01GL001296,5750.156494522734,5280.907668231679,882.0031298904536
TD01GL001297,3883.646322378719,3588.888888888908,563.145539906104
TD01GL001298,2310.485133020342,2127.856025039121,338.380281690141
TD01GL001299,9132.785602503944,8448.278560250585,1214.8669796557133
TD01GL001300,6395.696400626035,5951.4084507043235,844.9921752738642
TD01GL001301,3441.70579029734,3173.3176838810773,494.1705790297348
TD01GL001302,9026.13458528954,8340.453834115993,1273.6697965571204
TD01GL001303,4165.297339593118,3855.907668231638,531.7292644757445
TD01GL001304,9784.233176838767,9034.702660407089,1369.9921752738667
TD01GL001305,719.6400625978102,653.2081377151827,120.10954616588424
TD01GL001306,5801.330203442936,5367.683881064238,872.3787167449129
TD01GL001307,1558.7636932707335,1443.505477308294,236.69796557120534
TD01GL001308,1366.9014084507053,1254.2253521126784,202.89514866979675
TD01GL001309,3830.555555555558,3543.309859154947,554.6948356807519
TD01GL001310,5387.98904538344,4989.55399061039,781.1815336463219
TD01GL001311,7656.651017214493,7035.83724569653,1118.4272300469484
TD01GL001312,3164.1236306729215,2931.1815336463333,455.28169014084534
TD01GL001313,2598.4350547730783,2406.338028169016,368.23161189358404
TD01GL001314,4600.430359937413,4261.619718309892,651.564945226917
TD01GL001315,6675.743348982856,6167.4491392802365,893.3489827856021
TD01GL001316,8418.07511737099,7788.8888888890515,1184.6244131455398
TD01GL001317,6173.826291079864,5721.322378716831,854.6557120500783
TD01GL001318,6424.843505477368,5965.2973395932195,818.1533646322372
TD01GL001319,8928.364632237914,8263.810641627726,1286.8544600938956
TD01GL001320,5609.507042253561,5171.478873239505,861.1111111111097
TD01GL001321,10367.605633802708,9634.820031299143,1445.7746478873262
TD01GL001322,2438.223787167444,2263.5758998435076,333.255086071988
TD01GL001323,2919.2879499217497,2699.491392801259,447.22222222222297
TD01GL001324,2447.2613458528895,2275.6651017214385,346.1267605633806
TD01GL001325,6246.674491392871,5755.203442879583,969.6791862284797
TD01GL001326,875.4303599374038,800.2347417840407,140.45383411580616
TD01GL001327,11763.92801251931,10917.996870109837,1633.2550860719884
TD01GL001328,6368.231611893641,5901.956181533744,850.7042253521121
TD01GL001329,5865.336463223831,5429.4209702661165,815.8059467918608
TD01GL001330,2489.906103286381,2309.780907668233,357.6682316118937
TD01GL001331,2031.6118935837208,1870.1877934272275,313.81064162754313
TD01GL001332,2994.522691705788,2778.482003129899,414.7887323943667
TD01GL001333,2585.837245696399,2387.089201877936,364.984350547731
TD01GL001334,1927.1517996870077,1779.1862284820008,252.15179968701113
TD01GL001335,2472.4178403755836,2293.7793427230026,325.78247261345876
TD01GL001336,7804.773082942198,7211.7370892020235,1107.9420970266024
TD01GL001337,4059.0766823161175,3763.693270735548,555.6338028169017
TD01GL001338,7242.331768388195,6724.256651017342,979.0297339593099
TD01GL001339,6838.849765258289,6326.408450704337,949.2566510172124
TD01GL001340,3090.492957746478,2856.846635367771,432.0031298904546
TD01GL001341,4109.1158059467925,3765.532081377175,625.2738654147106
TD01GL001342,2415.8450704225315,2243.1533646322378,372.2222222222226
TD01GL001343,4901.5649452269445,4536.54147104856,688.6150234741788
TD01GL001344,2372.496087636929,2197.691705790295,350.7042253521131
TD01GL001345,5674.804381846675,5256.7292644758145,797.1830985915489
TD01GL001346,1879.3035993740182,1728.2081377151783,275.3521126760567
TD01GL001347,3380.4381846635356,3119.5618153364762,457.23787167449217
TD01GL001348,8051.838810641726,7376.017214397641,1176.7996870109534
TD01GL001349,19652.699530516333,18394.40532081428,2665.1799687011016
TD01GL001350,8055.907668231709,7396.909233176983,1172.6917057902958
TD01GL001351,17257.550860719293,16014.593114241501,2446.7136150234796
TD01GL001352,4746.205007824744,4370.148669796594,661.4632237871665
TD01GL001353,1946.7527386541417,1801.917057902971,292.7621283255087
TD01GL001354,2670.266040688573,2470.7355242566528,378.7949921752742
TD01GL001355,2956.3771517996843,2749.8826291079877,404.5774647887328
TD01GL001356,4773.591549295797,4355.829420970302,737.3239436619715
TD01GL001357,5204.186228482033,4805.2816901409005,724.0610328638495
TD01GL001358,5331.025039123667,4928.3646322379245,807.2769953051634
TD01GL001359,4611.776212832574,4239.3974960876685,709.1940532081378
TD01GL001360,1542.175273865413,1432.4726134585292,217.8012519561819
TD01GL001361,4629.499217527406,4288.732394366231,681.8857589984347
TD01GL001362,2294.5618153364608,2103.794992175271,352.89514866979675
TD01GL001363,2514.241001564942,2325.0391236306723,371.3223787167454
TD01GL001364,5767.683881064203,5348.278560250471,828.4428794992166
TD01GL001365,13658.176838810194,12516.236306729596,2137.8325508607218
TD01GL001366,1924.2957746478842,1767.7230046948328,284.58528951486727
TD01GL001367,11881.846635367498,11012.83255086102,1631.5727699530528
TD01GL001368,1604.5774647887306,1485.8763693270737,231.1424100156497
TD01GL001369,5775.9389671361905,5381.572769953129,851.2519561815329
TD01GL001370,8756.533646322438,8101.212832551043,1185.6416275430365
TD01GL001371,7863.575899843601,7225.938967136295,1101.4475743348974
TD01GL001372,1914.0453834115767,1773.2003129890434,272.7308294209704
TD01GL001373,6496.400625978154,5956.651017214494,1007.5899843505478
TD01GL001374,4322.574334898288,3985.0938967136417,617.9968701095462
