metacyc	kegg
25-DICHLORO-CISCIS-MUCONATE	C07095
N-23-DIHYDROXYBENZOYL-L-SERINE	C04204
2-CL-MUCONATE	C03572
MYCOTHIONE	C11502
2-CHLOROMALEYLACETATE	C06329
MORPHOLINE	C14452
14-DICHLOROBENZENE-DIHYDRODIOL	C07093
MORPHINONE	C01735
MONOMETHYL-ESTER-OF-TRANS-ACONITATE	C11514
CPD-20251	C21709
CPD-21168	C18832
CPD-20242	C21819
MEVALONATE	C00418
CPD-20241	C21796
CPD-11946	C08193
MEVALDATE	C00772
CPD-20078	C21670
METHYLOXALO-ACETATE	C06030
CPD-20077	C21661
CPD-11928	C02267
METHYLNICOTINATE	C01004
CPD-664	C05147
CPDQT-280	C08419
CPD-11925	C16766
METHYLENEDIUREA	C06381
CPD-18857	C09072
3-HYDROXY-L-KYNURENINE	C03227
METHYLBUT-CPD	C02223
CPD-11924	C15181
2-ACETAMIDOFLUORENE	C02778
METHYLARSONITE	C07295
METHYLARSONATE	C07294
CPD0-2189	C06056
3-METHYLSULFINYLPROPYL-GLUCOSINOLATE	C08411
METHYLAMINE	C00218
METHYL-ACETATE	C17530
MESO-TARTRATE	C00552
MESACONATE	C01732
CPD-16931	C20924
MALONATE	C00383
MALEIMIDE	C07272
MALEAMATE	C01596
MACROCIN	C00744
CPD-16927	C06086
CPD-48	C03066
CPD-11876	C05583
CPD-18837	C13632
LUTEOLIN-7-O-BETA-D-GLUCURONIDE	C03515
CPD-16840	C09093
CPD-15178	C01015
LUTEOLIN-7-O-BETA-D-DIGLUCURONIDE	C12632
5-HYDROXY-TRYPTOPHAN	C00643
LUCIFERYL-SULFATE	C02555
CPD-18834	C14225
LOMBRICINE	C01726
LOGANIN	C01433
CPD-3722	C02532
LOGANATE	C01512
3-P-SERINE	C01005
LIPOYL-AMP	C16238
FORMYL-ISOGLUTAMINE	C16674
LIPOAMIDE	C00248
N-ACETYL-L-2-AMINO-6-OXO-PIMELATE	C05539
LIMONOATE	C01593
CPD-583	C01044
LIMONIN	C03514
CPD-600	C01045
CPD-11782	C10200
ALPHA-N-ACETYLNEURAMINYL-ETCETERA-GALACT	C04901
CPD-19109	C21475
LATHYRINE	C08290
L-TYROSINE-METHYL-ESTER-4-SULFATE	C04201
L-TYROSINE-METHYL-ESTER	C03404
CPD-16719	C21827
L-TAGATOSE-6-PHOSPHATE	C06312
CPD-7224	C15532
L-RHAMNONO-14-LACTONE	C02991
CPD-433	C02710
1-2-DIPALMITOYLPHOSPHATIDYLCHOLINE	D03585
L-RHAMNONATE	C01934
CPD-16681	C20208
CPD-11756	C19700
L-N2-2-CARBOXYETHYLARGININE	C06655
L-HYOSCYAMINE	C02046
CPD-20843	C00210
L-HISTIDINOL-P	C01100
CPD0-2015	C02712
L-GULONO-1-4-LACTONE	C01040
CPD-439	C03519
CPD-18835	C14350
CPD-420	C01042
L-DOPACHROME	C01693
CPD-16667	C20834
L-DEHYDRO-ASCORBATE	C05422
CPD-13827	C11990
L-ARGININO-SUCCINATE	C03406
CPD-567	C02727
L-ARABINO-1-5-LACTONE	C05405
CPD-16611	C21561
CPD-424	C02997
CPD-16610	C21560
CPD-16534	C09092
L-2-AMINOHEXANOATE	C01933
N-ALPHA-ACETYLORNITHINE	C00437
L-2-AMINO-HEXANO-6-LACTAM	C02837
CPD-16466	C09066
CPD-404	C01046
KYNURENATE	C01717
CPD-14496	C08988
N-METHYLTRYPTOPHAN	C02983
KOJIC-ACID	C14516
CPD-15285	C03298
KDO-8P	C04478
CPD-14803	C20481
NALPHANALPHA-DIMETHYL-L-HISTIDINE	C04259
CPD-298	C02721
ITACONATE	C00490
2-METHYL-L-SERINE	C02115
ISOVITEXIN-2-O-B-D-GLUCOSIDE	C04199
CPD-466	C03284
CPD-14963	C18063
ISOVALERATE	C08262
CPD-471	C01205
ISOSCOPARIN	C05990
CPD-14504	C09189
CPD-232	C04368
CPD-18836	C13629
ISOQUINOLINE	C06323
ISOQUINOLIN-12H-ONE	C06324
CPD-11667	C18072
CPD-17011	C21568
ISOPROPYLAMINE	C06748
CPD-14501	C20212
CPD-17012	C21569
ISOPHENOXAZINE	C02161
CPD-580	C01073
CPD-17013	C21570
CPD-18833	C13624
ISOFLAVONE	C00799
ISOCHORISMATE	C00885
CPD-14312	C20711
ISOBUTYRATE	c02632
CPD-11650	C06239
CPD-15441	C08945
ISOBUTANOL	C14710
CPD-15442	C08944
ISOBUTANOATE-P	C03754
CPD-20398	C20792
ISO-PROPANOL	C01845
CPD-19462	C21659
ISATIN	C11129
IPRONIAZID	C11777
INULOBIOSE	C01711
L-DELTA1-PYRROLINE_5-CARBOXYLATE	C03912
INDOXYL	C05658
IMIDAZOLE-RING	C01589
CPD-19461	C21655
INDOLE_PYRUVATE	C00331
CPD-14545	C14531
CPD-13924	C20150
CPD-20752	C20919
CPD-13922	C20148
CPD-13921	C20147
CPD0-2599	D02888
CPD-8610	C15915
CPD-13868	C20185
CPD-13850	C19964
6-AMINOPENICILLANATE	C02954
CPD-9377	C06669
CPD-15497	C16495
INDICAN	C08481
CPD-11578	C21283
IMIDAZOLE_ACETALDEHYDE	C05130
CPD-7287	C15610
IMIDAZOLE-PYRUVATE	C03277
CPD-11573	C20443
CPD-170	C01613
44-DIMETHYL-CHOLESTA-814-24-TRIENOL	C11455
IMIDAZOLE-LACTATE	C05568
CPD-12805	C18229
DESMOSTEROL-CPD	C01802
IMIDAZOLE-ACETOL-P	C01267
HYPOTAUROCYAMINE	C02419
HYPOTAURINE	C00519
CPD-16473	C06371
4-ALPHA-METHYL-5-ALPHA	C08825
CPD-11552	C05645
HYDROXYPROPANAL	C00969
CDP-CHOLINE	C00307
HYDROXYNAPHTHOATE	C03203
CPD-11551	C03124
HYDROXYMUCONATE-SALD	C00682
HYDROXYMETHYLBILANE	C01024
CPD-11534	C20145
HYDROXYMETHYL-ETCETERA-DIHYDROXYCYCLOHEX	C04815
CPD-11426	C06088
CPD-17787	C18836
HYDROXYMALONATE	C02287
CPD-11425	C11890
HYDROXYLAMINE	C00192
CPD-11424	C19816
CPD-16643	C12378
CPD-16418	C03989
CPD-15498	C16494
HYDROXYBENZOQUINONE	C07103
ZYMOSTEROL	C05437
HYDROXYATRAZINE	C06552
HYDROXYAMINOBENZENE	C02720
CPD-10114	C19814
HYDROXYACETONE-PHOSPHATE	C03505
HYDROXY-UREA	C07044
5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL	C05439
HYDROXY-METHYL-BUTENYL-DIP	C11811
--ABIETADIENE	C11878
CPD-9962	C17954
HYDROXY-915-DIOXOPROSTA-13-ENOATE	C04707
CPD-11495	C05852
HYDROGEN-PEROXIDE	C00027
4-METHYL-824-CHOLESTADIENOL	C05103
HYDROGEN-MOLECULE	C00282
CPD-8621	C03845
HYDANTOIN-5-PROPIONATE	C05565
INDOLE_ACETATE_AUXIN	C00954
CPD-10546	C20635
HOP-2229-ENE	C06310
HOMOGENTISATE	C00544
CPD-16640	C20975
CPD-4187	C01164
HMP	C01279
CPD-10507	C11284
HISTIDINOL	C00860
CPD-11439	D00395
HISTIDINAL	C01929
CPD-717	C15800
CPD-12462	C08242
CPD-15499	C16493
HISTAMINE	C00388
VIOMYCIN-P	C02574
CPD-11438	C07049
HEXACHLOROETHANE	C19248
CPD-714	C15790
CPD-8926	C06922
CPD-11437	C07523
HCL	C01327
CPD-711	C15788
CHOLESTEROL	C00187
ERGOSTEROL	C01694
H2SO3	C00094
CPD-10229	C12109
H2CO3	C01353
CPD-707	C01789
GUAZATINE	C10997
GUANIDOACETIC_ACID	C00581
CPD-723	C15802
CPD-16932	C15717
CPD-11420	C17018
44-DIMETHYL-824-CHOLESTADIENOL	C05108
GUANIDINOETHYL-METHYL-PHOSPHATE	C04071
CPD-634	C15794
CPD-8646	C05107
GUANIDINO-ACETATE-P	C03166
CPD-718	C15792
GLYCOSYL-N-ACYLSPHINGOSINE	C03701
CPD-3943	C15795
CPD-10236	C12044
CPD-715	C15799
GLYCEROPHOSPHATEN1	C02768
GLUTARIMIDE	C07275
CPD-712	C15798
GLUTARATE	C00489
CPD-18766	C21146
GLUTAMATE-1-SEMIALDEHYDE	C03741
GLUTACONATE	C02214
CPD-709	C15786
CPD-1135	C12069
GLUCOSYL3-MANNOSYL9-N-ACETYLGLUCOSA	C03632
GLUCOSYL-LIMONIN	C06740
CPD-724	C15803
CPD-1132	C02948
CPD-105	C05343
GLUCOSAMINE-1P	C06156
CPD-697	C08814
CPD-106	C03198
CPD-1131	C03057
GEISSOSCHIZINE	C02151
CPD-719	C15793
GAMMA-PENTACHLOROCYCLOHEXANE	C06596
CPD-3945	C15796
CPD-1130	C01989
CHLORAMPHENICOL	C00918
GAMMA-GLUTAMYL-PUTRESCINE	C15699
GAMMA-GLUTAMYL-GAMMA-AMINOBUTYRALDEH	C15700
CPD-716	C15791
CPD0-1606	C06694
CPD-113	C15986
CPD-713	C15789
CPD-19988	C07665
CPD-11292	C16715
CPD-8249	C05404
FORMAMIDE	C00488
CPD-11291	D03818
CPD-710	C15787
CPD-11282	C07190
FECOSTEROL	C04525
CPD-698	C15785
CPD-1128	C04282
ETHYL-S-3-HYDROXYHEXANOATE	C03865
CPD-720	C15801
ETHYL-R-3-HYDROXYHEXANOATE	C03864
CPD-3946	C15797
ETHYL-3-OXOHEXANOATE	C02975
CPD-18441	D02952
ETHANOL-AMINE	C00189
ETHANAMINE	C00797
ESTRONE-SULFATE	C02538
ESTRADIOL-ETCETERA-GLUCURONOSIDE	C04300
CPD-14659	C09186
CPD-1124	C02824
ERGOSTA-ETCETERA-BETA-DIOL	C04416
ALPHA-GLUCOSE-16-BISPHOSPHATE	C01231
ENT-KAUR-16-EN-19-OL	C11872
CPD0-1242	C11165
ENT-KAUR-16-EN-19-AL	C11873
ENOL-PHENYLPYRUVATE	C02763
CPD-14652	C18037
CPD-14655	C09190
CPD-17525	C15711
EE-PIPEROYL-COA	C02611
CPD-693	C06082
CPD-16641	C20974
ECTOINE	C06231
E-PHENYLITACONYL-COA	C09818
E-37-DIMETHYLOCTA-16-DIEN-38-DIOL	C04433
CPD-12880	C19741
LIOTHYRONINE	C02465
E-2-METHOXYCARBONYLMETHYLBUTENEDIOAT	C11515
CPD-11430	C09663
CPD-18913	C21335
DTDP-L-DIHYDROSTREPTOSE	C03442
CPD0-1113	C06454
TRICHODIENE-CPD	C01860
DMSO	C11143
CPD-9410	C09382
CPD-8798	C20272
CPD-19414	C12437
CPD-1118	C01572
DITHIOERYTHRITOL	C00950
DISULFIRAM	C01692
CPD-16638	C20977
DISCADENINE	C01804
CPD-1117	C00545
DIOXOPIPERAZINE	C02777
CPD-10290	C11218
CPD-1116	C04546
CPD-20080	C21676
CPD0-2605	C12035
DIMETHYLSULFONIOACETATE	C03392
CPD-2482	C08057
CPD-1111	C00789
DIMETHYLMAL-CPD	C00922
DIMETHYLBENZIMIDAZOLE	C03114
CPD-1110	C04187
CPD-291	C16588
DIMETHYLARSINOUS-ACID	C20300
CPD-13496	C09719
DIMETHYLARSINATE	C07308
CPD-13396	C20811
CPD-1102	C04197
DIMETHYLAMINE	C00543
DIMETHYL-CITRACONATE	C05126
CPD-16431	C12050
DIISOPROPYL-PHOSPHATE	C03113
--beta-santalene	C09718
DIISOPROPYL-FLUOROPHOSPHATE	C00202
CPD-13564	C03367
DIHYDROXYPIRIDIN-CPD	C02932
CPD-8849	C19735
DIHYDROXYPENTANEDIONE	C11838
CPD-1097	C04148
DIHYDROXYNAPHTHOATE	C03657
DIHYDROXYINDOLE	C05578
CPD-1096	C03537
CPD-13409	C08243
DIHYDROXY-BUTANONE-P	C15556
CPD-8234	C09639
DIHYDROSTREPTOMYCIN-6-PHOSPHATE	C01221
CPD-4743	C09700
CPD-1095	C01470
DIHYDROSTREPTOMYCIN-3-ALPHA-6-BISPHOSPH	C01280
DIHYDROSANGUINARINE	C05191
CPD-1092	C07083
CPD-13188	C19966
DIHYDROMONACOLIN-L	C15536
CPD-17174	C01567
DIHYDROMETHANOPHENAZINE	C11904
DIHYDROMACARPINE	C05316
DIHYDROLIPOAMIDE	C00579
CPD-10891	D00309
CPD-1099	C00492
DIHYDROCLAVAMINATE	C06659
DIHYDROCHELIRUBINE	C05194
ISONIAZIDE	C07054
CPD-10890	C06960
DIHYDROBIOCHANIN-A	C02675
DIHYDRO-DIOH-BENZOATE	C04171
CPD-10889	C07626
CPD-11399	C09705
DIFLUOROMETHYLORNITHINE	C07997
CPD-10887	C01453
DIETHYLTHIOPHOSPHATE	C06607
DIETHYLPYROCARBONATE	C11592
CPD-17789	C18837
CPD-1088	C01088
DIETHYLPHOSPHATE	C06608
CPD-8749	C20161
DIETHYLETHER	C13240
CPD-8247	C16776
CPD-10835	C19499
CPD-8230	C09629
CPD-4721	C09737
CPD-10831	C17928
DIETHYL-2R3R-2-METHYL-3-HYDROXYSUCCIN	C04586
DIETHYL-2-METHYL-3-OXOSUCCINATE	C04067
CPD1A0-6117	C12436
CPD-10830	C17929
DICHLOROETHENE	C06792
CPD-20145	C09688
DICHLOROBIS-CPD	C04596
CPD-20701	C11210
DIAMINONONANOATE	C01037
DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR	C01304
DI-H-OROTATE	C00337
CPD-13863	C20181
CPD-1113	C04248
DETHIOBIOTIN	C01909
CPD-16642	C12379
CPD-10824	C04558
DESMETHYLSULOCHRIN	C15504
DEOXYRIBOSE-TRIPHOSPHATE	C12347
CPD-10823	C04559
DEOXYRIBONOLACTONE	C02674
CPD-9526	C07667
CPD0-2611	D08185
DEOXYLIMONONIC-ACID-D-RING-LACTONE	C04251
CPD0-1227	C12059
DEOXYLIMONATE	C02027
CPD-8789	C09625
DEOXYAMIDINOPROCLAVAMINATE	C06656
CPD-8746	C16142
DEMETHYLMACROCIN	C02400
DELTA3-ISOPENTENYL-PP	C00129
CPD-20253	C09698
CPD-10806	C21642
DELTA1-PIPERIDEINE-2-CARBOXYLATE	C04092
DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE	C03972
CPD-1080	C01111
D-MYO-INOSITOL-1-MONOPHOSPHATE	C01177
DEHYDROQUINATE	C00944
CPD-16639	C20976
DEHYDRO-DEOXY-GALACTONATE-PHOSPHATE	C01286
CPD-10792	C16850
D-MYO-INOSITOL-4-PHOSPHATE	C03546
DEAMINOHYDROXYBLASTICIDIN-S	C03860
DEACETOXYVINDOLINE	C02673
VIOMYCIN	C01540
1-L-MYO-INOSITOL-1-P	C04006
DE-O-K-GLUCONATE	C03926
CPD-13857	C20162
CPD-10057	C11937
DE-O-GLUCONATE	C02782
CPD-6901	C12058
CPD-10058	C19083
DCPIP	C00102
CPD-12891	C19734
N1-METHYLADENINE	C02216
CPD-11504	C09723
CPD-10759	C09621
CPD-10777	C16421
CPD-13320	C02241
D-TARTRATE	C02107
CPD-9444	C16826
1-METHYLADENOSINE	C02494
D-MANNOSYL-RHAMNOSYL-ETCETERA	C04724
D-MANNOSYL-1-PHOSPHOUNDECAPRENOL	C15542
CPD-16912	C12049
D-HEXOSE-6-PHOSPHATE	C02965
CPD-8740	C20274
CPD-8241	C19908
3-Methyl-Adenines	C00913
D-HAMAMELOSE	C01906
CPD-10774	C21382
CPD0-2377	C02242
D-GLUCURONOLACTONE	C06430
CPD-20249	C21707
CPD-19180	C08434
2-S-HYDROXYPROPYL-COM	C11498
D-GLUCOSYLARYLAMINE	C03142
RIFAMYCIN-B	C01848
CPD-13319	C02230
CPD-20136	C21693
D-GALACTOSYL-13-BETA-D-GALACTOSYL-14-B	C04775
CPD-20085	C21685
2-R-HYDROXYPROPYL-COM	C11496
D-ERYTHRO-IMIDAZOLE-GLYCEROL-P	C04666
CPD-18765	C21145
D-ERYTHRITOL-4P	C03494
D-BETA-D-HEPTOSE-17-DIPHOSPHATE	C11472
CPD-17793	C18838
CPD-16813	C17961
D-6-P-GLUCONO-DELTA-LACTONE	C01236
CPD-12881	C19738
CPD-16726	C16748
CPD-1076	C02519
CPD-11432	C09664
CPD-15961	C17942
D-2-AMINO-HEXANO-6-LACTAM	C05328
CPD-10756	C18245
CPD-9411	C19676
CYCLOPENTANONE	C00557
CPD-1075	C05627
CYCLOPENTANOL	C02020
CPD0-1581	C01965
CYCLOHEXANONE	C00414
CPD-8737	C19748
CYCLOHEXANOL	C00854
CYCLOHEXA-15-DIENE-1-CARBONYL-COA	C06322
CPD-692	C13455
CYCLOEUCALENOL	C02141
CPD-551	C03167
CPD-17790	C10087
CYCASIN	C01418
CROTONO-BETAINE	C04114
CPD-15750	C12016
CROTONATE	C01771
CPD-20081	C21677
CREPENYNATE	C07289
CREATININE	C00791
CPD-18416	C09738
CPDQT-84	C09795
CPD-1071	C01270
CPD-10703	C02048
CPD-13497	C09720
CPD-9465	C06452
CPD-11421	C20262
ARISTOLOCHENE	C02004
CPD-9249	C20725
CPD-16812	C17960
CPD-8753	C17120
CPD-1069	C04366
CPD66-92	C09209
CPD-9466	C06451
CPD-16792	C17940
CPD-764	C05682
CPD66-65	C18179
CPD-20075	C21660
CPD66-64	C18178
CPD-1843	C03197
CPD-1067	C01186
CPD-335	C01089
CPD-13874	C20178
CPD66-58	C18173
CPD66-57	C18171
CPD66-56	C06315
CPD-9959	C16269
CPD66-55	C04742
CPD-10661	D10504
CPD-10649	C15220
CPD66-51	C06314
CPD-8232	C17094
CPD66-29	C20252
CPD66-26	C05290
PROPENE	C11505
CPD66-25	C05297
CPD66-17	D00434
CPD-8346	C03916
CPD-8343	C04102
CPD-10640	C07090
CPD-8347	C04100
CPD-10632	C03918
VINYL-CHLORIDE	C06793
CPD1G-121	C06718
CPD1G-1	C19784
CPD-1063	C04582
CPD1G-0	C15658
CPD-425	C01586
CPD-10627	C14408
CPD-14251	C17535
CPD0-954	C02617
CPD-8245	C09635
CPD-10623	C12832
CPD-7561	C09538
CPD-4664	C19708
CPD-10615	C03359
CPD-20143	C21698
1016-DIHYDROXYPALMITATE	C08285
CPD0-888	C16156
CPD-1061	C04211
CPD-691	C06507
CPD0-881	C16698
CPD-14799	C20478
18-HYDROXYOLEATE	C19616
CPD0-341	C01169
AQUACOBIIIALAMIN	C00992
10-HYDROXYDECANOATE	C02774
CPD-10591	c05449
CPD-11287	C19737
4-HYDROXY-BUTYRATE	C00989
CPD-10590	c05448
ADENOSYLCOBINAMIDE	C06508
CPD-8803	C09648
CPD-1701	C03660
CPD-8787	C20173
4-METHYL-MYO-INOSITOL	C06352
CPD-10589	c05447
CPD-8744	C09672
CPD-8063	C05163
CPD0-1308	C01705
CPD-8242	C09750
CPD-8046	C03844
CPD-9700	C08280
CPD-10588	C17346
CPD-4661	C09627
5-O-METHYL-MYO-INOSITOL	C03365
CPD-20250	C21708
CPD-10587	c05445
CPD-8056	C08257
CPD-20137	C21694
1-METHYL-MYO-INOSITOL	C03659
CPD-10586	c05444
MG-PROTOPORPHYRIN-MONOMETHYL-ESTER	C04536
CPD-20086	C21686
CPD-7167	C01294
CPD-9047	C16243
CPD-541	C01225
CPD-10582	D01518
CPD-7015	C16540
CPD-180	C01283
CPD-10578	C18230
COBALT-FACTOR-III	C17401
CPD-14796	C20476
DIVINYL-PROTOCHLOROPHYLLIDE-A	C11831
CPD-13785	C19973
CPD-9043	C11542
CPD-10570	C07711
CPD-11433	C19893
CHLOROPHYLL-B	C05307
CPD-9040	C11539
CPD-9412	C19677
CPD-694	C06505
CPD-689	C06504
CPD0-2565	C01800
CPD-8764	C09665
5-O-INDOL-3-YLACETYL-MYO-ETCETERA	C04695
CPD-8738	C19749
ADENOSYLCOBINAMIDE-GDP	C06510
CPD-8239	C09666
CPD-7554	C16028
CPD0-2556	D00129
CPD-10545	C01926
13-HYDROXY-MAGNESIUM-PROTOPORP	C11829
CPD-10532	C07617
CPD-20083	C21681
CPD-458	C01235
CPD-10530	C07538
MONO-VINYL-PROTOCHLOROPHYLLIDE-A	C02880
CPD-1722	C06394
CPD-9048	C16244
CPD-7016	C18151
CPD-9116	C04452
CPD-10495	C02685
CPD0-2530	D01721
CPD-12879	C19744
COBALT-SIROHYDROCHLORIN	C11538
CPD-11422	C20229
CPD-10494	C02683
DIVINYLCHLOROPHYLLIDE-A	C11832
CPD-9044	C11543
CPD0-2527	C19326
FARNESYL-PP	C00448
CPD-10490	C11735
CPD-261	C02452
CPD-8797	C21679
CPD-10489	C15505
CHLOROPHYLLIDE-A	C02139
CPD-4981	C18025
CPD-10488	C15605
CPD-9041	C11540
CPD-8236	C20724
CPD-4921	C06305
CPD-4745	C09715
CPD-20224	C21702
CPD-690	C06506
CPD-10475	C16001
ADENOSYLCOBINAMIDE-P	C06509
CPD-4889	C09873
CPD-18439	C09741
CPD-10419	C06675
CPD-1829	C00541
131-OXO-MAGNESIUM-PROTOPORPHYRIN-IX-13-M	C11830
CPD-8735	C09898
CPD-1041	C04353
CPD-13875	C20177
CPD-1001	C06575
CPD-4941	C11951
CPD-9049	C05773
CPD-21186	C20425
CPD-10324	C06821
CPD-4902	C20241
COBINAMIDE	C05774
CPD-4890	C06075
MG-PROTOPORPHYRIN	C03516
CPD4FS-7	C13456
CPD-10318	C10020
CPD-9045	C11545
CPD-7014	C16541
CPD-4261	C09844
CPD-13045	C09800
COB-I-ALAMIN	C00853
CPD-8730	C16829
CPD-8736	C09900
CPD0-2376	C11376
CPD-8233	C09684
CPD-9042	C16242
CPD-1090	C02485
CPD0-2367	C16633
CPD-4942	C09893
CPD-10231	C12107
CPD-18925	C17914
CPD-10230	C12108
CPD-4888	C06074
CPD-15241	C20576
CPD-13112	C19864
CPD-8767	C06304
CPD-14592	C03757
CPD-13270	C20479
CPD0-2340	C20249
CPD-11776	C01897
CPD-11393	C20179
CPD-10228	C12106
CPD0-2336	C14701
CPD-10227	C12215
CPD-12889	C00650
CPD-8791	C20273
PHENYLACETONITRILE	C16074
CPD-10226	C12214
CPD-1074	C03766
CPD-8246	C16775
CPD-7970	C11164
CPD-7989	C17277
CPD-10225	C12213
CPD-19830	C11040
CPD-4703	C12142
CPD-19250	C21329
CPD-20327	C21715
CPD-10223	C12211
INDOL-YLACETYL-MYO-INOSITOL-ARABINOSIDE	C04611
CPD-20144	C09687
D-1-GUANIDINO-3-AMINO-13-DIDEOXY-SCYLLO	C01298
CPD-10220	C12210
CPD0-1031	C11037
D-1-GUANIDINO-1-DEOXY-3-DEHYDRO-SCYLLO-I	C04673
CPD-7061	C18021
CPD-7168	C04280
CPD-365	C20251
CPD-10296	C18064
CPD-15582	C09814
CPD-165	C03868
CPD-14800	C20480
CPD-15236	C21643
4-CHLOROPHENYLACETONITRILE	C03679
CPD-9525	C09680
CPD-1133	C04287
CPD-1105	C01214
CPD-10188	C14695
CPD-13004	C00873
CPD-8788	C16815
CPD-8745	C19747
CPD-10185	C14430
CPD-8243	C20180
MYO-INOSITOL	C00137
CPD-20252	C21710
CPD-20138	C21695
CPD-8055	C06151
CPD-8054	C06152
CPD-8052	C06150
CPD-8050	C06153
CPD-10148	C00837
CPD-10147	C01854
CPD-11442	C09622
CPD-10758	C16814
CPD-10145	C00324
CPD-8801	C09749
CPD-8776	C09630
CPD-102	C06103
CPD-8739	C09647
CPD-10137	C06592
CPD-7556	C20307
CPD-20225	C21705
CPD0-2124	C07597
CPD-10129	C08431
CPD-20134	C21689
CPD-20084	C21684
CPD-1763	C01841
CPD0-1256	C08230
ACETYL_AMP	C05993
CPD-315	C02823
ADENOSYLCOBALAMIN	C00194
L-THYROXINE	C01829
CPD-101	C01880
CPD0-2070	C06878
CPD0-2069	C06894
2-IODOPHENOL	C01874
CPD0-2067	D00251
CPD0-2066	C06879
CPD-10098	C08306
CPD0-2065	C06977
CPD-10097	D02766
DIIODO-4-HYDROXYPHENYLPYRUVATE	C01244
CPD-883	C06593
2-3-DIHYDROXYBENZOATE	C00196
2-IODOPHENOL-METHYL-ETHER	C03575
R--ALLANTOIN	C02348
S-ALLANTOIN	C02350
CPD-10091	C07032
DIIODO-HYDROXYPHENYL-LACTATE	C04367
CPD-10088	C07031
PIPERIDINE	C01746
CPD-17690	C18213
CPD-17691	C18214
CPD-17689	C18212
CPD-10705	C12269
N2-MALONYL-D-TRYPTOPHAN	C03414
D-TRYPTOPHAN	C00525
CPD0-1953	C18676
CPD0-1951	D05075
CPD-216	C02265
N-ACETYL-D-TRYPTOPHAN	C03137
CPD-1008	c06582
3-OCTAPRENYL-4-HYDROXYBENZOATE	C05809
NONAPRENYL-4-HYDROXYBENZOATE	C03885
CPD-10079	C07026
CPD-10813	C07639
D-4-HYDROXYPHENYLGLYCINE	C03493
CPD0-1939	C11189
CPD-10076	C07024
CPD-8838	C09694
CPD-1007	c06581
B-ALANINE	C00099
CPD-1006	c06580
CPD-8754	C06306
METHYL-EPOXYTRIDECADIENOATE	C04867
CPD-4892	C06308
CPD-14668	C20488
CPD-1005	c06579
CPD-8755	C20244
CPD-4891	C06307
CPD-17897	C19613
CPD-1004	c06578
CPD-8835	C20943
PREGNENOLONE	C01953
CPD0-1900	C11217
N-CARBAMYL-L-GLUTAMATE	C05829
CARBAMYUL-L-ASPARTATE	C00438
N6N6N6-TRIMETHYL-L-LYSINE	C03793
CPD-596	C03626
3-HYDROXY-N6N6N6-TRIMETHYL-L-LYSINE	C01259
CPD-5481	C18604
THIDIAZURON	C18812
VESTITONE	C00786
CPD-1823	C01152
2-HYDROXY-23-DIHYDRODAIDZEIN	C03567
N5-METHYLGLUTAMINE	C03153
CPD-10016	C01375
CPD-3630	C16228
CPD-304	C02728
CPD0-181	C15667
KIEVITONE-CPD	C01590
CPD-15280	C05575
CPD-6181	C08263
CPD-17501	C16225
DIMETHYL-GLYCINE	C01026
CORYDALINE	C15530
SARCOSINE	C00213
COPROPORPHYRINOGEN_III	C03263
CPD-6994	C05631
COLUMBAMINE	C01795
CPD-14474	C20487
COFORMYCIN	C01677
CPD-256	C02357
CODEINONE	C06171
2-FLUOROBENZOATE	C02359
CPD-961	C03955
R-12-EPOXYPROPANE	C11506
CODEINE	C06174
S-12-EPOXYPROPANE	C11507
PURINE	C15587
CPD0-1690	C08288
DIMETHYL-D-RIBITYL-LUMAZINE	C04332
CLAVAMINATE	C06660
CPD0-1686	C12148
CPD-15309	C03212
CPD-13419	D00996
CPD-15159	C00268
CIT	C00158
L-ARGININE-P	C05945
CPD-3728	C06501
CIS-N-METHYL-S-781314-TETRAHYDROPRO	C05318
CPD0-1682	C14440
CPD-15838	C14155
CPD-15839	C14156
L-THREONINE-O-3-PHOSPHATE	C12147
CIS-CIS-MUCONATE	C02480
CPD-15836	C14153
CPD-15837	C14154
GAMA-TOCOPHEROL	C02483
ALPHA-TOCOPHEROL	C02477
BETA-TOCOPHEROL	C14152
DELTA-TOCOPHEROL	C14151
CIS-3-PHENYLCYCLOHEXA-35-DIENE-12-DIOL	C06589
D-CARNITINE	C15025
PYRIDOXINE-5P	C00627
CPD-667	C01077
CIS-12-DIHYDROXY-ETCETERA-CARBOXYLATE	C06729
PYRIDOXAMINE	C00534
CIS-12-DIHYDRONAPHTHALENE-12-DIOL	C04314
CPD-1112	C00847
CPD-13369	C20696
CPD0-1656	D01791
PYRIDOXAMINE-5P	C00647
CPD-17184	C21513
CINNAMYL-ALC	C02394
PYRIDOXAL	C00250
FLUORENE	C07715
CPD0-1652	C07837
PYRIDOXINE	C00314
PYRIDOXAL_PHOSPHATE	C00018
CHOLANATE2	C04643
7E9E11Z14Z-5S6R-6-CYSTEIN-S-YL	C05952
STERCULATE	C08366
CPD-17175	C21514
20-HYDROXY-LEUKOTRIENE-E4	C03577
CHLOROACETALDEHYDE	C06754
20-OH-LTB4	C04853
CHLORITE	C01486
CPD-9035	C03510
CPD-3561	C07064
6Z8E10E14Z-5S12R-512-DIHYDROXYI	C02165
